word,log_odds
i,8.426338022222355
very,6.352083467528932
my,6.352083467528932
people,6.084979397386091
might,6.0352263621889914
now,5.930256802587449
lot,5.8170461921394585
something,5.756925199701887
we,5.756925199701887
trades,5.559888352642334
likely,5.559888352642334
net,5.487738566886498
case,5.487738566886498
day,5.487738566886498
think,5.487738566886498
1,5.487738566886498
had,5.487738566886498
since,5.411789713653199
quarter,5.411789713653199
he,5.411789713653199
too,5.3316193649692165
question,5.3316193649692165
paper,5.2467304673827035
back,5.2467304673827035
move,5.156532658411125
bad,5.156532658411125
did,5.156532658411125
broker,5.060317343151822
reason,5.060317343151822
better,5.060317343151822
k,5.060317343151822
numbers,5.060317343151822
answer,5.060317343151822
were,5.060317343151822
central,4.957223850187718
go,4.957223850187718
during,4.957223850187718
every,4.957223850187718
come,4.8461925377989745
yes,4.8461925377989745
etc,4.8461925377989745
side,4.8461925377989745
someone,4.8461925377989745
margin,4.8461925377989745
difference,4.8461925377989745
course,4.8461925377989745
30,4.8461925377989745
5,4.8461925377989745
said,4.725898304081263
next,4.725898304081263
building,4.725898304081263
live,4.725898304081263
expensive,4.725898304081263
give,4.725898304081263
doing,4.725898304081263
actually,4.725898304081263
'd,4.725898304081263
me,4.725898304081263
ca,4.725898304081263
build,4.725898304081263
days,4.59465377080301
probably,4.59465377080301
currently,4.59465377080301
once,4.59465377080301
index,4.59465377080301
've,4.59465377080301
never,4.59465377080301
yourself,4.59465377080301
expiration,4.59465377080301
starting,4.59465377080301
'm,4.59465377080301
liquid,4.59465377080301
feb,4.59465377080301
irs,4.59465377080301
location,4.59465377080301
million,4.59465377080301
american,4.450263861467835
though,4.450263861467835
far,4.450263861467835
government,4.450263861467835
4,4.450263861467835
forms,4.450263861467835
kind,4.450263861467835
really,4.450263861467835
either,4.450263861467835
site,4.450263861467835
28th,4.450263861467835
checks,4.450263861467835
500,4.450263861467835
percent,4.450263861467835
looks,4.450263861467835
statement,4.450263861467835
deal,4.450263861467835
goes,4.289799189274589
matter,4.289799189274589
plans,4.289799189274589
part,4.289799189274589
months,4.289799189274589
extra,4.289799189274589
already,4.289799189274589
